QQ号,录入人,进群时间,微信号,流量渠道来源,录入截图,创建人,创建时间
1502200489,里奇,2021-6-26,,付费流量-筠子,,里奇,2021-6-26
378189448,里奇,2021-6-26,,付费流量-筠子,,里奇,2021-6-26
1410558531,里奇,2021-6-26,,付费流量-筠子,,里奇,2021-6-26
2335295025,里奇,2021-6-26,,付费流量-筠子,,里奇,2021-6-26
3097297327,里奇,2021-6-26,,付费流量-筠子,,里奇,2021-6-26
3278991077,里奇,2021-6-26,,付费流量-筠子,,里奇,2021-6-26
2051086231,里奇,2021-6-26,,付费流量-筠子,,里奇,2021-6-26
964566733,里奇,2021-6-26,,付费流量-筠子,,里奇,2021-6-26
2983049941,里奇,2021-6-26,,付费流量-筠子,,里奇,2021-6-26
3256641962,里奇,2021-6-26,,付费流量-筠子,,里奇,2021-6-26
1915566012,里奇,2021-6-25,,付费流量-筠子,,里奇,2021-6-25
1941594716,里奇,2021-6-25,,付费流量-筠子,,里奇,2021-6-25
3500028758,里奇,2021-6-25,,付费流量-筠子,,里奇,2021-6-25
776402940,里奇,2021-6-25,,付费流量-筠子,,里奇,2021-6-25
1141781245,里奇,2021-6-25,,付费流量-筠子,,里奇,2021-6-25
3060242438,里奇,2021-6-25,,付费流量-筠子,,里奇,2021-6-25
2273824138,里奇,2021-6-25,,付费流量-筠子,,里奇,2021-6-25
2420383771,里奇,2021-6-25,,付费流量-筠子,,里奇,2021-6-25
2481635368,里奇,2021-6-25,,付费流量-筠子,,里奇,2021-6-25
1114573790,里奇,2021-6-25,,付费流量-筠子,,里奇,2021-6-25
2970132982,里奇,2021-6-25,,付费流量-筠子,,里奇,2021-6-25
1940294031,里奇,2021-6-25,,付费流量-筠子,,里奇,2021-6-25
1018747052,里奇,2021-6-25,,付费流量-筠子,,里奇,2021-6-25
1527677826,里奇,2021-6-25,,付费流量-筠子,,里奇,2021-6-25
1471114265,里奇,2021-6-25,,付费流量-筠子,,里奇,2021-6-25
3322654010,里奇,2021-6-25,,付费流量-筠子,,里奇,2021-6-25
2224383549,里奇,2021-6-25,,付费流量-筠子,,里奇,2021-6-25
1316100858,里奇,2021-6-25,,付费流量-筠子,,里奇,2021-6-25
872060135,里奇,2021-6-25,,付费流量-筠子,,里奇,2021-6-25
651620165,里奇,2021-6-25,,付费流量-筠子,,里奇,2021-6-25
1907578599,里奇,2021-6-25,,付费流量-筠子,,里奇,2021-6-25
1689968177,里奇,2021-6-25,,付费流量-筠子,,里奇,2021-6-25
2595510066,里奇,2021-6-25,,付费流量-筠子,,里奇,2021-6-25
2369766795,里奇,2021-6-25,,付费流量-筠子,,里奇,2021-6-25
183854557,里奇,2021-6-25,,付费流量-筠子,,里奇,2021-6-25
1789637698,里奇,2021-6-25,,付费流量-筠子,,里奇,2021-6-25
1499660638,里奇,2021-6-25,,付费流量-筠子,,里奇,2021-6-25
2680145495,里奇,2021-6-25,,付费流量-筠子,,里奇,2021-6-25
2274111844,里奇,2021-6-25,,付费流量-筠子,,里奇,2021-6-25
2225153446,里奇,2021-6-25,,付费流量-筠子,,里奇,2021-6-25
2542892307,里奇,2021-6-25,,付费流量-筠子,,里奇,2021-6-25
2323537967,里奇,2021-6-24,,付费流量-筠子,,里奇,2021-6-24
2108586549,里奇,2021-6-24,,付费流量-筠子,,里奇,2021-6-24
2802376433,里奇,2021-6-24,,付费流量-筠子,,里奇,2021-6-24
194045995,里奇,2021-6-24,,付费流量-筠子,,里奇,2021-6-24
892478176,里奇,2021-6-24,,付费流量-筠子,,里奇,2021-6-24
2860593755,里奇,2021-6-24,,付费流量-筠子,,里奇,2021-6-24
2394093824,里奇,2021-6-24,,付费流量-筠子,,里奇,2021-6-24
2316857133,里奇,2021-6-24,,付费流量-筠子,,里奇,2021-6-24
1185339904,里奇,2021-6-24,,付费流量-筠子,,里奇,2021-6-24
727542366,里奇,2021-6-24,,付费流量-筠子,,里奇,2021-6-24
2361319142,里奇,2021-6-24,,付费流量-筠子,,里奇,2021-6-24
1840635192,里奇,2021-6-24,,付费流量-筠子,,里奇,2021-6-24
180168232,里奇,2021-6-24,,付费流量-筠子,,里奇,2021-6-24
1559824374,里奇,2021-6-24,,付费流量-筠子,,里奇,2021-6-24
1758871566,里奇,2021-6-24,,付费流量-筠子,,里奇,2021-6-24
2786054410,里奇,2021-6-24,,付费流量-筠子,,里奇,2021-6-24
1592020864,里奇,2021-6-24,,付费流量-筠子,,里奇,2021-6-24
3177404118,里奇,2021-6-24,,付费流量-筠子,,里奇,2021-6-24
2843883418,里奇,2021-6-24,,付费流量-筠子,,里奇,2021-6-24
1159148152,里奇,2021-6-24,,付费流量-筠子,,里奇,2021-6-24
1612868090,里奇,2021-6-24,,付费流量-筠子,,里奇,2021-6-24
2177059630,里奇,2021-6-24,,付费流量-筠子,,里奇,2021-6-24
3088194354,里奇,2021-6-24,,付费流量-筠子,,里奇,2021-6-24
3028716474,里奇,2021-6-24,,付费流量-筠子,,里奇,2021-6-24
2303129671,里奇,2021-6-24,,付费流量-筠子,,里奇,2021-6-24
1307632607,里奇,2021-6-24,,付费流量-筠子,,里奇,2021-6-24
1029046670,里奇,2021-6-24,,付费流量-筠子,,里奇,2021-6-24
842507778,里奇,2021-6-24,,付费流量-筠子,,里奇,2021-6-24
1454175750,里奇,2021-6-24,,付费流量-筠子,,里奇,2021-6-24
389983083,里奇,2021-6-24,,付费流量-筠子,,里奇,2021-6-24
